Sehir,Id,bolum_adi,Tur,Universite,Fakülte,Ogrenim_sekli,Ozellik,2025_Taban_Puan,2025_Taban_Sıralama,2025_Kontenjan,2025_Dolu_Kontenjan,2025_Bos_Kontenjan,2025_Kontenjan_Orani,2025_Sıralama_Degisim_Orani,2025_Ucret,2024_TabanPuani,2024_TabanSıralama,2024_Kontenjan,2024_Dolu_Kontenjan,2024_Bos_Kontenjan,2024_Kontenjan_Orani,2024_Ucret
İstanbul,203090122,ÇİZGİ FİLM VE ANİMASYON,Vakıf,İstanbul Kültür Ü.,Sanat ve Tasarım Fak.,Burslu,-,"384,3932",15.800,5,5,0,"100,0%",1.260,-,"419,3264",14.540,8,8,-,"100,0%",-
İstanbul,206552472,ÇİZGİ FİLM VE ANİMASYON,Vakıf,Üsküdar Ü.,İletişim Fak.,Burslu,-,"372,0001",26.200,9,9,0,"100,0%",-1.580,-,"403,6911",27.780,10,10,-,"100,0%",-
İstanbul,201990511,ÇİZGİ FİLM VE ANİMASYON,Vakıf,Haliç Ü.,Güzel Sanatlar Fak.,Burslu,-,"369,1829",29.100,9,9,0,"100,0%",9.501,-,"412,3655",19.599,9,9,-,"100,0%",-
İstanbul,200851590,ÇİZGİ FİLM VE ANİMASYON,Vakıf,Beykoz Ü.,Sanat ve Tasarım Fak.,Burslu,-,"362,7524",37.100,5,5,0,"100,0%",-2.046,-,"394,3011","m
39.146",4,4,-,"100,0%",-
İstanbul,202390216,ÇİZGİ FİLM VE ANİMASYON,Vakıf,İstanbul Arel Ü.,Güzel Sanatlar Fak.,Burslu,-,"356,3476",46.600,3,3,0,"100,0%",-4.030,-,"386,8048",50.630,4,4,-,"100,0%",-
Konya,108990520,ÇİZGİ FİLM VE ANİMASYON,Devlet,Selçuk Ü.,Güzel Sanatlar Fak.,Örgün,-,"340,7321",78.500,40,40,0,"100,0%",-14.589,-,"366,0190",93.089,40,40,-,"100,0%",-
Antalya,210100171,ÇİZGİ FİLM VE ANİMASYON,Vakıf,Alanya Ü.,Sanat ve Tasarım Fak.,Burslu,-,"322,0438",137.000,4,4,0,"100,0%",32.434,-,"o
361,6447",104.566,3,3,-,"100,0%",-
Kırıkkale,106690321,ÇİZGİ FİLM VE ANİMASYON,Devlet,Kırıkkale Ü.,Güzel Sanatlar Fak.,Örgün,-,"300,2485",243.500,40,40,0,"100,0%",-3.644,-,"324,3554",247.144,40,40,-,"100,0%",-
Amasya,100990151,ÇİZGİ FİLM VE ANİMASYON,Devlet,Amasya Ü.,Hattat Hamdullah Güzel Sanatlar Fak.,Örgün,-,"295,4527",273.400,20,20,0,"100,0%",-,"c
-",-,Yeni,-,-,-,-,-
İstanbul,203090145,ÇİZGİ FİLM VE ANİMASYON,Vakıf,İstanbul Kültür Ü.,Sanat ve Tasarım Fak.,Ücretli,-,"291,6536",298.200,5,5,0,"100,0%",-,₺850.000,-,Dolmadı,6,3,3,"50,0%",₺549.000
İzmir,206090356,ÇİZGİ FİLM VE ANİMASYON,Vakıf,Yaşar Ü.,Sanat ve Tasarım Fak.,Ücretli,-,"201,3581",1.065.000,4,4,0,"100,0%",".
-",₺720.000,-,Dolmadı,6,3,3,"50,0%",₺430.000
İstanbul,206552474,ÇİZGİ FİLM VE ANİMASYON,Vakıf,Üsküdar Ü.,İletişim Fak.,%50 İnd.,-,-,Dolmadı,59,35,24,"59,3%",-,₺293.600,-,Dolmadı,59,47,12,"79,7%",₺174.325
İzmir,206090358,ÇİZGİ FİLM VE ANİMASYON,Vakıf,Yaşar Ü.,Sanat ve Tasarım Fak.,%50 İnd.,-,-,Dolmadı,41,34,7,"m
82,9%",-,₺360.000,"263,4272",718.657,45,45,-,"100,0%",₺215.000
Ankara,200612114,ÇİZGİ FİLM VE ANİMASYON,Vakıf,Başkent Ü.,Güzel Sanatlar Tasarım ve Mimarlık Fak.,%50 İnd.,-,-,Dolmadı,30,18,12,"60,0%",-,₺455.000,"255,1219",805.567,30,30,-,"100,0%",₺270.000
